table_name,time_predic,activeIKWH
ConsDomestic,2024-03-04 00:00:00,0.01
ConsDomestic,2024-03-04 00:30:00,0.01
ConsDomestic,2024-03-04 01:00:00,0.01
ConsDomestic,2024-03-04 01:30:00,0.01
ConsDomestic,2024-03-04 02:00:00,1.1
ConsDomestic,2024-03-04 02:30:00,1.09
ConsDomestic,2024-03-04 03:00:00,1.09
ConsDomestic,2024-03-04 03:30:00,1.1
ConsDomestic,2024-03-04 04:00:00,1.1
ConsDomestic,2024-03-04 04:30:00,1.09
ConsDomestic,2024-03-04 05:00:00,1.12
ConsDomestic,2024-03-04 05:30:00,1.33
ConsDomestic,2024-03-04 06:00:00,1.41
ConsDomestic,2024-03-04 06:30:00,1.42
ConsDomestic,2024-03-04 07:00:00,1.27
ConsDomestic,2024-03-04 07:30:00,1.03
ConsDomestic,2024-03-04 08:00:00,0.82
ConsDomestic,2024-03-04 08:30:00,0.6
ConsDomestic,2024-03-04 09:00:00,0.44
ConsDomestic,2024-03-04 09:30:00,0.46
ConsDomestic,2024-03-04 10:00:00,0.44
ConsDomestic,2024-03-04 10:30:00,0.38
ConsDomestic,2024-03-04 11:00:00,0.27
ConsDomestic,2024-03-04 11:30:00,0.23
ConsDomestic,2024-03-04 12:00:00,0.2
ConsDomestic,2024-03-04 12:30:00,0.19
ConsDomestic,2024-03-04 13:00:00,0.18
ConsDomestic,2024-03-04 13:30:00,0.2
ConsDomestic,2024-03-04 14:00:00,0.42
ConsDomestic,2024-03-04 14:30:00,0.59
ConsDomestic,2024-03-04 15:00:00,0.76
ConsDomestic,2024-03-04 15:30:00,0.88
ConsDomestic,2024-03-04 16:00:00,0.98
ConsDomestic,2024-03-04 16:30:00,1.43
ConsDomestic,2024-03-04 17:00:00,0.33
ConsDomestic,2024-03-04 17:30:00,0.23
ConsDomestic,2024-03-04 18:00:00,0.22
ConsDomestic,2024-03-04 18:30:00,0.21
ConsDomestic,2024-03-04 19:00:00,0.21
