table_name,time_predic,activeIKWH
Consdomestic,2024-03-02 20:30:00,0.01
Consdomestic,2024-03-02 21:00:00,0.01
Consdomestic,2024-03-02 21:30:00,0.01
Consdomestic,2024-03-02 22:00:00,0.01
Consdomestic,2024-03-02 22:30:00,0.01
Consdomestic,2024-03-02 23:00:00,0.01
Consdomestic,2024-03-02 23:30:00,0.01
Consdomestic,2024-03-03 00:00:00,0.01
Consdomestic,2024-03-03 00:30:00,0.01
Consdomestic,2024-03-03 01:00:00,0.01
Consdomestic,2024-03-03 01:30:00,0.01
Consdomestic,2024-03-03 02:00:00,0.01
Consdomestic,2024-03-03 02:30:00,0.01
Consdomestic,2024-03-03 03:00:00,0.01
Consdomestic,2024-03-03 03:30:00,0.01
Consdomestic,2024-03-03 04:00:00,0.01
Consdomestic,2024-03-03 04:30:00,0.01
Consdomestic,2024-03-03 05:00:00,0.01
Consdomestic,2024-03-03 05:30:00,0.01
Consdomestic,2024-03-03 06:00:00,0.01
Consdomestic,2024-03-03 06:30:00,0.01
Consdomestic,2024-03-03 07:00:00,0.01
Consdomestic,2024-03-03 07:30:00,0.01
Consdomestic,2024-03-03 08:00:00,0.01
Consdomestic,2024-03-03 08:30:00,0.01
Consdomestic,2024-03-03 09:00:00,0.01
Consdomestic,2024-03-03 09:30:00,0.01
Consdomestic,2024-03-03 10:00:00,0.01
Consdomestic,2024-03-03 10:30:00,0.01
Consdomestic,2024-03-03 11:00:00,0.01
Consdomestic,2024-03-03 11:30:00,0.01
Consdomestic,2024-03-03 12:00:00,0.01
Consdomestic,2024-03-03 12:30:00,0.01
Consdomestic,2024-03-03 13:00:00,0.01
Consdomestic,2024-03-03 13:30:00,0.01
Consdomestic,2024-03-03 14:00:00,0.01
Consdomestic,2024-03-03 14:30:00,0.01
Consdomestic,2024-03-03 15:00:00,0.01
Consdomestic,2024-03-03 15:30:00,0.01
Consdomestic,2024-03-03 16:00:00,0.01
Consdomestic,2024-03-03 16:30:00,0.01
Consdomestic,2024-03-03 17:00:00,0.01
Consdomestic,2024-03-03 17:30:00,0.01
Consdomestic,2024-03-03 18:00:00,0.01
Consdomestic,2024-03-03 18:30:00,0.01
Consdomestic,2024-03-03 19:00:00,0.01
Consdomestic,2024-03-03 19:30:00,0.01
Consdomestic,2024-03-03 20:00:00,0.01
Consdomestic,2024-03-03 20:30:00,0.01
Consdomestic,2024-03-03 21:00:00,0.01
Consdomestic,2024-03-03 21:30:00,0.01
Consdomestic,2024-03-03 22:00:00,0.01
Consdomestic,2024-03-03 22:30:00,0.01
Consdomestic,2024-03-03 23:00:00,0.01
Consdomestic,2024-03-03 23:30:00,0.01
Consdomestic,2024-03-04 00:00:00,0.0
Consdomestic,2024-03-04 00:30:00,0.0
Consdomestic,2024-03-04 01:00:00,0.0
Consdomestic,2024-03-04 01:30:00,0.0
Consdomestic,2024-03-04 02:00:00,0.01
Consdomestic,2024-03-04 02:30:00,0.0
Consdomestic,2024-03-04 03:00:00,0.0
Consdomestic,2024-03-04 03:30:00,0.0
Consdomestic,2024-03-04 04:00:00,0.0
Consdomestic,2024-03-04 04:30:00,0.0
Consdomestic,2024-03-04 05:00:00,0.0
Consdomestic,2024-03-04 05:30:00,0.0
Consdomestic,2024-03-04 06:00:00,0.0
Consdomestic,2024-03-04 06:30:00,0.0
Consdomestic,2024-03-04 07:00:00,0.0
Consdomestic,2024-03-04 07:30:00,0.01
Consdomestic,2024-03-04 08:00:00,0.01
Consdomestic,2024-03-04 08:30:00,0.01
Consdomestic,2024-03-04 09:00:00,0.01
Consdomestic,2024-03-04 09:30:00,0.01
Consdomestic,2024-03-04 10:00:00,0.01
Consdomestic,2024-03-04 10:30:00,0.01
Consdomestic,2024-03-04 11:00:00,0.01
Consdomestic,2024-03-04 11:30:00,0.01
Consdomestic,2024-03-04 12:00:00,0.01
Consdomestic,2024-03-04 12:30:00,0.01
Consdomestic,2024-03-04 13:00:00,0.01
Consdomestic,2024-03-04 13:30:00,0.01
Consdomestic,2024-03-04 14:00:00,0.01
Consdomestic,2024-03-04 14:30:00,0.01
Consdomestic,2024-03-04 15:00:00,0.01
Consdomestic,2024-03-04 15:30:00,0.01
Consdomestic,2024-03-04 16:00:00,0.0
Consdomestic,2024-03-04 16:30:00,0.01
Consdomestic,2024-03-04 17:00:00,0.0
Consdomestic,2024-03-04 17:30:00,0.01
Consdomestic,2024-03-04 18:00:00,0.01
Consdomestic,2024-03-04 18:30:00,0.01
Consdomestic,2024-03-04 19:00:00,0.01
Consdomestic,2024-03-04 19:30:00,0.01
Consdomestic,2024-03-04 20:00:00,0.01
Consdomestic,2024-03-04 20:30:00,0.01
Consdomestic,2024-03-04 21:00:00,0.01
Consdomestic,2024-03-04 21:30:00,0.01
Consdomestic,2024-03-04 22:00:00,0.01
Consdomestic,2024-03-04 22:30:00,0.01
Consdomestic,2024-03-04 23:00:00,0.01
Consdomestic,2024-03-04 23:30:00,0.01
Consdomestic,2024-03-05 00:00:00,0.01
Consdomestic,2024-03-05 00:30:00,0.01
Consdomestic,2024-03-05 01:00:00,0.0
Consdomestic,2024-03-05 01:30:00,0.0
Consdomestic,2024-03-05 02:00:00,0.01
Consdomestic,2024-03-05 02:30:00,0.0
Consdomestic,2024-03-05 03:00:00,0.0
Consdomestic,2024-03-05 03:30:00,0.0
Consdomestic,2024-03-05 04:00:00,0.0
Consdomestic,2024-03-05 04:30:00,0.0
Consdomestic,2024-03-05 05:00:00,0.0
Consdomestic,2024-03-05 05:30:00,0.0
Consdomestic,2024-03-05 06:00:00,0.0
Consdomestic,2024-03-05 06:30:00,0.0
Consdomestic,2024-03-05 07:00:00,0.0
Consdomestic,2024-03-05 07:30:00,0.01
Consdomestic,2024-03-05 08:00:00,0.01
Consdomestic,2024-03-05 08:30:00,0.01
Consdomestic,2024-03-05 09:00:00,0.01
Consdomestic,2024-03-05 09:30:00,0.01
Consdomestic,2024-03-05 10:00:00,0.01
Consdomestic,2024-03-05 10:30:00,0.01
Consdomestic,2024-03-05 11:00:00,0.01
Consdomestic,2024-03-05 11:30:00,0.01
Consdomestic,2024-03-05 12:00:00,0.01
Consdomestic,2024-03-05 12:30:00,0.01
Consdomestic,2024-03-05 13:00:00,0.01
Consdomestic,2024-03-05 13:30:00,0.01
Consdomestic,2024-03-05 14:00:00,0.01
Consdomestic,2024-03-05 14:30:00,0.01
Consdomestic,2024-03-05 15:00:00,0.01
Consdomestic,2024-03-05 15:30:00,0.01
Consdomestic,2024-03-05 16:00:00,0.01
Consdomestic,2024-03-05 16:30:00,0.01
Consdomestic,2024-03-05 17:00:00,0.01
Consdomestic,2024-03-05 17:30:00,0.01
Consdomestic,2024-03-05 18:00:00,0.01
Consdomestic,2024-03-05 18:30:00,0.01
Consdomestic,2024-03-05 19:00:00,0.01
Consdomestic,2024-03-05 19:30:00,0.01
