table_name,time_predic,activeIKWH
ConsGeneral,2024-03-05 11:30:00,0.0
ConsGeneral,2024-03-05 12:00:00,0.0
ConsGeneral,2024-03-05 12:30:00,0.0
ConsGeneral,2024-03-05 13:00:00,0.0
ConsGeneral,2024-03-05 13:30:00,0.0
ConsGeneral,2024-03-05 14:00:00,0.0
ConsGeneral,2024-03-05 14:30:00,0.04
ConsGeneral,2024-03-05 15:00:00,0.08
ConsGeneral,2024-03-05 15:30:00,0.13
ConsGeneral,2024-03-05 16:00:00,0.27
ConsGeneral,2024-03-05 16:30:00,0.28
ConsGeneral,2024-03-05 17:00:00,0.0
ConsGeneral,2024-03-05 17:30:00,0.0
ConsGeneral,2024-03-05 18:00:00,0.0
ConsGeneral,2024-03-05 18:30:00,0.0
ConsGeneral,2024-03-05 19:00:00,0.0
ConsGeneral,2024-03-05 19:30:00,0.0
ConsGeneral,2024-03-05 20:00:00,0.07
ConsGeneral,2024-03-05 20:30:00,0.13
ConsGeneral,2024-03-05 21:00:00,0.13
ConsGeneral,2024-03-05 21:30:00,0.15
ConsGeneral,2024-03-05 22:00:00,0.26
ConsGeneral,2024-03-05 22:30:00,0.26
ConsGeneral,2024-03-05 23:00:00,0.24
ConsGeneral,2024-03-05 23:30:00,0.22
ConsGeneral,2024-03-06 00:00:00,0.21
ConsGeneral,2024-03-06 00:30:00,0.2
ConsGeneral,2024-03-06 01:00:00,0.19
ConsGeneral,2024-03-06 01:30:00,0.18
ConsGeneral,2024-03-06 02:00:00,0.26
ConsGeneral,2024-03-06 02:30:00,0.17
ConsGeneral,2024-03-06 03:00:00,0.17
ConsGeneral,2024-03-06 03:30:00,0.19
ConsGeneral,2024-03-06 04:00:00,0.21
ConsGeneral,2024-03-06 04:30:00,0.24
ConsGeneral,2024-03-06 05:00:00,0.24
ConsGeneral,2024-03-06 05:30:00,0.24
ConsGeneral,2024-03-06 06:00:00,0.22
ConsGeneral,2024-03-06 06:30:00,0.14
ConsGeneral,2024-03-06 07:00:00,0.03
ConsGeneral,2024-03-06 07:30:00,0.01
ConsGeneral,2024-03-06 08:00:00,0.02
ConsGeneral,2024-03-06 08:30:00,0.03
ConsGeneral,2024-03-06 09:00:00,0.03
ConsGeneral,2024-03-06 09:30:00,0.03
ConsGeneral,2024-03-06 10:00:00,0.02
ConsGeneral,2024-03-06 10:30:00,0.02
ConsGeneral,2024-03-06 11:00:00,0.02
ConsGeneral,2024-03-06 11:30:00,0.02
ConsGeneral,2024-03-06 12:00:00,0.02
ConsGeneral,2024-03-06 12:30:00,0.02
ConsGeneral,2024-03-06 13:00:00,0.02
ConsGeneral,2024-03-06 13:30:00,0.01
ConsGeneral,2024-03-06 14:00:00,0.01
ConsGeneral,2024-03-06 14:30:00,0.01
ConsGeneral,2024-03-06 15:00:00,0.01
ConsGeneral,2024-03-06 15:30:00,0.16
ConsGeneral,2024-03-06 16:00:00,0.23
ConsGeneral,2024-03-06 16:30:00,0.23
ConsGeneral,2024-03-06 17:00:00,0.0
ConsGeneral,2024-03-06 17:30:00,0.0
ConsGeneral,2024-03-06 18:00:00,0.0
ConsGeneral,2024-03-06 18:30:00,0.0
ConsGeneral,2024-03-06 19:00:00,0.0
ConsGeneral,2024-03-06 19:30:00,0.0
ConsGeneral,2024-03-06 20:00:00,0.0
ConsGeneral,2024-03-06 20:30:00,0.0
ConsGeneral,2024-03-06 21:00:00,0.0
ConsGeneral,2024-03-06 21:30:00,0.06
ConsGeneral,2024-03-06 22:00:00,0.28
ConsGeneral,2024-03-06 22:30:00,0.26
ConsGeneral,2024-03-06 23:00:00,0.23
ConsGeneral,2024-03-06 23:30:00,0.21
TotalCons,2024-03-05 02:00:00,2.5
TotalCons,2024-03-05 02:30:00,2.49
TotalCons,2024-03-05 03:00:00,2.5
TotalCons,2024-03-05 03:30:00,2.49
TotalCons,2024-03-05 04:00:00,2.48
TotalCons,2024-03-05 04:30:00,2.51
TotalCons,2024-03-05 05:00:00,2.53
TotalCons,2024-03-05 05:30:00,2.57
TotalCons,2024-03-05 06:00:00,2.5
TotalCons,2024-03-05 06:30:00,2.2
TotalCons,2024-03-05 07:00:00,1.71
TotalCons,2024-03-05 07:30:00,1.56
TotalCons,2024-03-05 08:00:00,1.3
TotalCons,2024-03-05 08:30:00,0.42
TotalCons,2024-03-05 09:00:00,0.44
TotalCons,2024-03-05 09:30:00,0.39
TotalCons,2024-03-05 10:00:00,0.17
TotalCons,2024-03-05 10:30:00,0.13
TotalCons,2024-03-05 11:00:00,0.16
TotalCons,2024-03-05 11:30:00,0.17
TotalCons,2024-03-05 12:00:00,0.27
TotalCons,2024-03-05 12:30:00,0.43
TotalCons,2024-03-05 13:00:00,0.25
TotalCons,2024-03-05 13:30:00,0.22
TotalCons,2024-03-05 14:00:00,0.26
TotalCons,2024-03-05 14:30:00,0.16
TotalCons,2024-03-05 15:00:00,0.27
TotalCons,2024-03-05 15:30:00,0.53
TotalCons,2024-03-05 16:00:00,1.25
TotalCons,2024-03-05 16:30:00,1.57
TotalCons,2024-03-05 17:00:00,0.2
